Time,KEQ0724176:4_13
 20.05.21 08:00:00,20.051
 20.05.21 14:00:00,19.242
 20.05.21 20:00:00,20.326
 21.05.21 02:00:00,20.161
 21.05.21 08:00:00,20.093
 21.05.21 14:00:00,20.481
 21.05.21 20:00:00,20.2
 22.05.21 02:00:00,20.142
 22.05.21 08:00:00,19.814
 22.05.21 14:00:00,20.294
 22.05.21 20:00:00,20.062
 23.05.21 02:00:00,19.809
 23.05.21 08:00:00,19.429
 23.05.21 14:00:00,20.169
 23.05.21 20:00:00,19.884
 24.05.21 02:00:00,19.729
 24.05.21 08:00:00,19.831
 24.05.21 14:00:00,20.091
 24.05.21 20:00:00,20.205
 25.05.21 02:00:00,20.278
 25.05.21 08:00:00,20.081
 25.05.21 14:00:00,20.048
 25.05.21 20:00:00,20.052
 26.05.21 02:00:00,19.709
 26.05.21 08:00:00,19.586
 26.05.21 14:00:00,20.141
 26.05.21 20:00:00,20.223
 27.05.21 02:00:00,19.867
 27.05.21 08:00:00,19.739
 27.05.21 14:00:00,20.259
 27.05.21 20:00:00,20.197
 28.05.21 02:00:00,19.8
 28.05.21 08:00:00,19.744
 28.05.21 14:00:00,20.338
 28.05.21 20:00:00,20.247
 29.05.21 02:00:00,19.9
 29.05.21 08:00:00,19.335
 29.05.21 14:00:00,20.143
 29.05.21 20:00:00,20.503
 30.05.21 02:00:00,20.269
 30.05.21 08:00:00,19.51
 30.05.21 14:00:00,20.024
 30.05.21 20:00:00,20.231
 31.05.21 02:00:00,19.982
 31.05.21 08:00:00,20.085
 31.05.21 14:00:00,20.317
 31.05.21 20:00:00,20.218
 01.06.21 02:00:00,20.26
